id,score,product_code,product_image_url,product_name,product_meta_score,created_at,type,filtered_message,color,size
139923,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-16T23:05:54+09:00,0,진짜 핏 원단 너무 좋아서 또 샀어요... 짱짱 뼈를묻어,(60)CHARCOAL,M(075)
139898,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-16T13:29:27+09:00,0,커브드 라인이 너무 예쁘게 떨어지는 옷입니당 .. 저는 오프라인으로 입어보고 구매했는데 ! 애초에 핏이 너무 예뻐서 그럴 필요 없엇던 것 같아용 오프라인으로 그레이도 추가 구매햇답니다!!!!! (사진 속 상의 이너 전부 미쏘 제품입니당),(19)BLACK,M(075)
139852,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-15T13:30:20+09:00,0,이바지진짜 어느 옷이든 너무 잘어울려서 매일 입습니다!!진짜 색깔 너무 이뻐요 다른색도 살려고요 !!!,(16)LIGHT GRAY,M(075)
139851,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-15T13:29:02+09:00,0,진짜 편한데 너무 이뻐서 맨날맨날 입어요. 강추!!!!!!!!!,(19)BLACK,M(075)
139846,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-15T11:06:22+09:00,0,진짜너무이쁨.... 핏 너무좋아요 최고다!!!!! 내 교복템,(16)LIGHT GRAY,M(075)
139839,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-15T03:54:48+09:00,0,매장가서 바지 입어보고 바지핏 너무 이뻐서 살랫는데 온라인이 더 싸서 여기서 구매하게 됏어요 바지핏 진짜 이뻐요,(19)BLACK,M(075)
139819,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-14T19:18:30+09:00,0,인스타에서 보고 샀는데 재질 너무 좋고 겨울 빼고 다 잘 입고 다닐 수 있을 거 같아여!! 다른색도 살거에요!,(60)CHARCOAL,M(075)
139809,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-14T15:21:01+09:00,0,"매장에서 입어보고 핏이 너무 예뻐서 살까말까 고민하다가 계속 생각나서 주문했어요! 키가 작아서 길이는 길지만 밑에 조이는게 있어서 조여서 운동화 신으면 핏 딱 좋은거같아요. 처음엔 사이즈가 m,l 밖에 없어서 크면 어쩌지 했는데 허리 사이즈도 딱 좋아요 허리 고무줄 안조여도 흘러내리지않아요~",(60)CHARCOAL,M(075)
139783,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-13T18:39:27+09:00,0,소재도 얇고 여름에 잘 입을거같아요 ~~ 감사핮니다~~!,(19)BLACK,M(075)
139776,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-13T16:43:28+09:00,0,지인이 입은거 물어봐서 구매했어오 ㅋㅋㅋㅋ 너무 편하고 너무너무 이쁩니다 이번 여행도 잘 입었고 앞으로도 잘 입을게요♡,(19)BLACK,M(075)
139775,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-13T16:37:46+09:00,0,"레전드 인생 트레이닝 팬츠…. 밑단 스트링부터 허리, 주머니 쪽 스터드까지 흠 잡을 곳 없음",(15)GRAY,M(075)
139764,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-13T14:23:27+09:00,0,컬러도 화사해서 예쁘고 무엇보다 핏이 미쳤어요... 너무 예뻐요ㅠㅠ 다리 긴 사람들은 한 치수 크게 입어도 될 것 같아요!,(16)LIGHT GRAY,M(075)
139716,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-12T12:55:55+09:00,0,좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요,(19)BLACK,L(080)
139696,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-11T20:48:07+09:00,0,다른브랜드 비슷한 스타일이 많지만 힙부분부터 다리위까지 너무 부하지도 않고 핏이 젤 예뻐요 다른색상도 구입하려구요,(19)BLACK,M(075)
139685,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-11T13:17:29+09:00,0,핏이 너무 예뻐요 날씬해보이고 아주 예뻐요 다른색으로 하나 더 주문했어요,(19)BLACK,L(080)
139652,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-10T14:43:21+09:00,0,허버지랑 엉덩이 부각 안되는 밝은 컬러 편한 바지 찾았는데 성공햇어요! 주머니 디테일도 이쁘고 후들후들 재질이라 여름까지 가능해요,(16)LIGHT GRAY,L(080)
139623,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-09T20:15:48+09:00,0,너무 이뻐요...! 길이도 적댱히 길어서 딱 좋구 (키 161)아이보리 빨리 재입고 됐으면 좋겠어요ㅠㅠ,(16)LIGHT GRAY,M(075)
139561,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-07T19:22:07+09:00,0,요즘 가장 많이 입고 다니는 템.. .. ★ 데일리 트레이닝 팬츠 찾아다녔는데 이렇게 조은 바지가 내게 오다니요🧍🏻  라이트 그레이 컬러가 부담스럽지 않고 밑으로 떨어지는 바지핏이 너무 예쁩니다♥,(16)LIGHT GRAY,M(075)
