review_id,type,typeName,content,grade,createDate,likeCount,goodsNo,goodsName,brandName,brandEnglishName,brand,brandBestYn,goodsCreateDate,goodsOption,option_color,option_size,userNickName,reviewSex,userHeight,userWeight,userLevel,commentCount,commentReplyCount,isFirstReview,orderOptionNo,channelSource,review_image_urls,product_image_url,사이즈,화면 대비 색감,퀄리티,신축성
83689418,general,일반,예뻐요 예뻐 잉스타 보고 바로 구매했움 ㅎㅎ 남자친구가 너무 아빠빤쓰 같다고 길 지나다니면 사람들이 쳐다보고 간다면서 그거 아빠빤쓰같아서 쳐다보는거라고 계속 그러지만 내가 예쁘다는데 흥!!!!! 여튼 길이 길구 사이즈 엄청 넉넉합니당,5,2026-04-15T01:38:51.000+09:00,1,5906086,rd check pants (grey),미드나잇 무브,MIDNIGHT MOVE,midnightmove,N,2026-01-17T00:07:12.000+09:00,NONE,,,aaaaseo,여성,164,53,5,2,0,1,410850236,musinsa,,https:/images/goods_img/20260117/5906086/5906086_17716018859316_100.jpg,조금 큼,화면과 비슷,보통,적당함
83679036,general,일반,유교걸이라 새깅이 넘 어려웠는데 이 바지는 새깅바지여서 유교걸도 입을 수 있어서 좋아요 그리고 핏도 이뻐서 교복처럼 입을거 같습니당,5,2026-04-14T20:04:56.000+09:00,1,5906086,rd check pants (grey),미드나잇 무브,MIDNIGHT MOVE,midnightmove,N,2026-01-17T00:07:12.000+09:00,NONE,,,건치딱다구리,여성,165,53,5,2,0,1,415587417,musinsa,,https:/images/goods_img/20260117/5906086/5906086_17716018859316_100.jpg,정사이즈,화면과 비슷,보통,적당함
83667876,general,일반,이안 바지라고해서 사봤는뎅 완전 편하고 새깅디테일이 힙해용 스카갈때 문신처럼 매일 입습니당… 좀 비싸긴하지만 포장이라던지 마감이 가격값해용,5,2026-04-14T12:15:10.000+09:00,1,5906086,rd check pants (grey),미드나잇 무브,MIDNIGHT MOVE,midnightmove,N,2026-01-17T00:07:12.000+09:00,NONE,,,장마엔방배티셔츠,여성,160,49,4,2,0,1,413355925,musinsa,,https:/images/goods_img/20260117/5906086/5906086_17716018859316_100.jpg,정사이즈,화면과 비슷,매우 좋음,적당함
83492556,general,일반,재질도 탄탄하고 핏도 너무 이뻐서 잘 입고 있어요 좋아요,4,2026-04-06T21:37:23.000+09:00,1,5906086,rd check pants (grey),미드나잇 무브,MIDNIGHT MOVE,midnightmove,N,2026-01-17T00:07:12.000+09:00,NONE,,,Jimin080,여성,168,68,7,2,0,1,412600622,musinsa,,https:/images/goods_img/20260117/5906086/5906086_17716018859316_100.jpg,정사이즈,화면과 비슷,보통,적당함
83414901,general,일반,일단 너무예뻐요ㆍ재질도 후질근하지않고 너무얇지도 두껍지도않아서  댄스시간에  4계절다쓸것같아요ㆍ색감도너무이쁘고~~  좀 아래로내려입으면 더예뻐요ㆍ,5,2026-04-03T12:43:11.000+09:00,1,5906086,rd check pants (grey),미드나잇 무브,MIDNIGHT MOVE,midnightmove,N,2026-01-17T00:07:12.000+09:00,NONE,,,후련한영국수제화,여성,154,54,2,4,1,1,412978346,musinsa,,https:/images/goods_img/20260117/5906086/5906086_17716018859316_100.jpg,정사이즈,화면과 비슷,좋음,적당함
83302551,general,일반,배송이 빠르고 상품도 예쁘고 마음에 듭니다! 너무 감사합니다!,5,2026-03-29T19:04:54.000+09:00,1,5906086,rd check pants (grey),미드나잇 무브,MIDNIGHT MOVE,midnightmove,N,2026-01-17T00:07:12.000+09:00,NONE,,,뽀돌이99,여성,170,51,1,2,0,1,407368932,musinsa,,https:/images/goods_img/20260117/5906086/5906086_17716018859316_100.jpg,정사이즈,화면과 비슷,보통,적당함
83278224,general,일반,바지핏 너무 예쁘고 입으면 다리 길고 얇아 보여서 좋았어용!!! 새깅이 너무 예쁘게 들어가서 아주 포인트로 딱😋,5,2026-03-28T16:07:58.000+09:00,1,5906086,rd check pants (grey),미드나잇 무브,MIDNIGHT MOVE,midnightmove,N,2026-01-17T00:07:12.000+09:00,NONE,,,딱딱한블랙모카신,여성,166,57,1,2,0,1,408554959,musinsa,,https:/images/goods_img/20260117/5906086/5906086_17716018859316_100.jpg,조금 큼,화면과 비슷,좋음,적당함
82662853,style,스타일,요즘 새깅에 빠졌는데 이 바지 개힙함… 핏이 딱 새깅하기 좋게 떨어져서 그냥 입어도 느낌 있음. 여름에 크롭티에 매치하면 진짜 더 예쁠 듯.,5,2026-03-02T00:38:18.000+09:00,7,5906086,rd check pants (grey),미드나잇 무브,MIDNIGHT MOVE,midnightmove,N,2026-01-17T00:07:12.000+09:00,NONE,,,주울담배,여성,160,51,3,2,0,1,406040106,musinsa,https:/data/estimate/5906086_0/3798303b24d24ac488b6febf21a5c86a.jpg,https:/images/goods_img/20260117/5906086/5906086_17716018859316_100.jpg,정사이즈,화면과 비슷,보통,적당함
83766054,general,일반,전설의 이안바지 일단 핏이 미쳤고(p) 몸매 레전드 이뻐보임,5,2026-04-18T01:45:40.000+09:00,0,5906086,rd check pants (grey),미드나잇 무브,MIDNIGHT MOVE,midnightmove,N,2026-01-17T00:07:12.000+09:00,NONE,,,쿨핑크,여성,167,49,4,0,0,1,416193869,musinsa,https:/data/estimate/5906086_0/56d3d2bd1c5c49b08025755164d85dc6.jpg,https:/images/goods_img/20260117/5906086/5906086_17716018859316_100.jpg,정사이즈,화면과 비슷,보통,적당함
83747074,general,일반,길이도이쁘고 접어입을수도있고 새깅안하고입어도 이뻐욤,5,2026-04-17T11:22:15.000+09:00,0,5906086,rd check pants (grey),미드나잇 무브,MIDNIGHT MOVE,midnightmove,N,2026-01-17T00:07:12.000+09:00,NONE,,,꺄비니,여성,165,44,3,0,0,1,415096314,musinsa,,https:/images/goods_img/20260117/5906086/5906086_17716018859316_100.jpg,정사이즈,화면과 비슷,보통,적당함
